公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),董監酬勞(元),員工紅利-現金紅利金額(元),員工紅利-股票紅利金額(元),員工紅利-股票紅利股數(股),員工紅利-股票紅利股數佔盈餘轉增資之比例(%),有無全數分派員工股票紅利而股東未配發股票股利之情事,股東會對於員工紅利及董監酬勞之決議情形與原董事會通過擬議內容之差異原因及合理性,普通股每股面額
1101 - 台泥,股東會確認,1,,102/06/21,"3,487,059,517","7,734,822,407","10,448,399,683","3,433,265,532",1.9,0,"7,015,134,151",0,0,0,"71,311,156","44,670,317",0,0,0,無,,新台幣                 10.0000元
1101 - 台泥,董事會通過,1,102/03/28,102/06/21,"3,487,059,517","7,734,822,407","10,448,399,683","3,433,265,532",1.9,0,"7,015,134,151",0,0,0,"71,311,156","44,670,317",0,,,無,,新台幣                 10.0000元
1102 - 亞泥,股東會確認,1,,102/06/21,"7,196,455,761","6,235,191,559","12,744,001,917","6,605,257,514",1.7,0,"5,492,560,783",0.2,0,"64,618,362","198,024,013","264,032,017",0,0,,無,,新台幣                 10.0000元
1102 - 亞泥,董事會通過,1,102/03/25,102/06/21,"7,196,455,761","6,235,191,559","12,744,001,917","6,605,257,514",1.7,0,"5,492,560,783",0.2,0,"64,618,362","198,024,013","264,032,017",0,,,無,,新台幣                 10.0000元
1103 - 嘉泥,股東會確認,1,,102/06/19,"3,706,889,690","-727,960,924","2,978,928,766","2,978,928,766",0,0,0,0,0,0,0,0,0,0,0,無,,新台幣                 10.0000元
1103 - 嘉泥,董事會通過,1,102/03/28,102/06/19,"3,706,889,690","-727,960,924","2,978,928,766","2,978,928,766",0,0,0,0,0,0,0,0,0,,,無,,新台幣                 10.0000元
1104 - 環球水泥,股東會確認,1,,102/06/17,"1,071,861,230","711,981,829","1,818,702,565","1,365,783,634",0.75,0,"452,918,931",0,0,0,"14,454,860","14,454,860",0,0,0,無,,新台幣                 10.0000元
1104 - 環球水泥,董事會通過,1,102/03/28,102/06/17,"1,071,861,230","711,981,829","1,818,702,565","1,365,783,634",0.75,0,"452,918,931",0,0,0,"14,454,860","14,454,860",0,,,無,,新台幣                 10.0000元
1108 - 幸福水泥,股東會確認,1,,102/06/20,"-140,496,509","174,577,989","30,673,332","30,673,332",0,0,0,0,0,0,"1,533,667","920,200",0,0,0,無,,新台幣                 10.0000元
1108 - 幸福水泥,董事會通過,1,102/03/25,102/06/20,"-140,496,509","174,577,989","34,081,480","30,673,332",0,0,0,0,0,0,"1,533,667","920,200",0,,,無,,新台幣                 10.0000元
1109 - 信大水泥,股東會確認,1,,102/06/28,"385,383,292","87,811,387","451,900,799","291,920,510",0.38,0,"159,980,289",0,0,0,"3,951,512","790,303",0,0,0,無,,新台幣                 10.0000元
