公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),董監酬勞(元),員工紅利-現金紅利金額(元),員工紅利-股票紅利金額(元),員工紅利-股票紅利股數(股),員工紅利-股票紅利股數佔盈餘轉增資之比例(%),有無全數分派員工股票紅利而股東未配發股票股利之情事,股東會對於員工紅利及董監酬勞之決議情形與原董事會通過擬議內容之差異原因及合理性,普通股每股面額
1101 - 台泥,股東會確認,1,,104/06/18,"13,993,536,207","10,828,867,614","23,667,908,194","14,474,390,280",2.49,0,"9,193,517,914",0,0,0,"93,455,858","58,612,166",0,0,0,無,,新台幣                 10.0000元
1101 - 台泥,董事會通過,1,104/03/27,104/06/18,"13,993,536,207","10,828,867,614","23,667,908,194","14,474,390,280",2.49,0,"9,193,517,914",0,0,0,"93,455,858","58,612,166",0,,,無,,新台幣                 10.0000元
1102 - 亞泥,股東會確認,1,,104/06/24,"12,820,675,025","9,361,635,576","19,169,102,573","11,773,918,737",2.2,0,"7,395,183,836",0,0,0,"238,554,317","318,072,423",0,0,0,無,,新台幣                 10.0000元
1102 - 亞泥,董事會通過,1,104/03/20,104/06/24,"12,820,675,025","9,361,635,576","19,169,102,573","11,773,918,737",2.2,0,"7,395,183,836",0,0,0,"238,554,317","318,072,423",0,,,無,,新台幣                 10.0000元
1103 - 嘉泥,股東會確認,1,,104/06/18,"4,084,828,958","16,342,679","4,012,693,864","3,779,645,300",0.3,0,"233,048,564",0,0,0,0,0,0,0,0,無,,新台幣                 10.0000元
1103 - 嘉泥,董事會通過,1,104/05/06,104/06/18,"4,084,828,958","16,342,679","4,012,693,864","3,779,645,300",0.3,0,"233,048,564",0,0,0,0,0,0,,,無,,新台幣                 10.0000元
1104 - 環球水泥,股東會確認,1,,104/06/18,"1,734,960,294","1,392,581,865","2,981,451,445","2,242,287,759",1,0,"615,969,746",0.2,0,"12,319,394","23,590,331","23,590,331",0,0,0,無,,新台幣                 10.0000元
1104 - 環球水泥,董事會通過,1,104/03/24,104/06/18,"1,734,960,294","1,392,581,865","2,981,451,445","2,242,287,759",1,0,"615,969,746",0.2,0,"12,319,394","23,590,331","23,590,331",0,,,無,,新台幣                 10.0000元
1108 - 幸福水泥,股東會確認,1,,104/06/12,"63,777,312","379,538,105","407,095,090","164,252,261",0.6,0,"242,842,829",0,0,0,"17,079,215","10,247,529",0,0,0,無,,新台幣                 10.0000元
1108 - 幸福水泥,董事會通過,1,104/03/24,104/06/12,"63,777,312","379,538,105","407,095,090","164,252,261",0.6,0,"242,842,829",0,0,0,"17,079,215","10,247,529",0,,,無,,新台幣                 10.0000元
1109 - 信大水泥,股東會確認,1,,104/06/18,"94,751,059","283,540,159","345,529,737","261,329,585",0.2,0,"84,200,152",0,0,0,"10,207,446","5,103,723",0,0,0,無,,新台幣                 10.0000元
1109 - 信大水泥,董事會通過,1,104/04/23,104/06/18,"94,751,059","283,540,159","345,529,737","261,329,585",0.2,0,"84,200,152",0,0,0,"10,207,446","5,103,723",0,,,無,,新台幣                 10.0000元
1110 - 東泥,股東會確認,1,,104/06/18,"26,292,726","141,764,374","153,896,769","39,496,610",0.2,0,"114,400,159",0,0,0,"3,575,005","1,191,668",0,0,0,無,,新台幣                 10.0000元
1110 - 東泥,董事會通過,1,104/03/23,104/06/18,"26,292,726","141,764,374","153,896,769","39,496,610",0.2,0,"114,400,159",0,0,0,"3,575,005","1,191,668",0,,,無,,新台幣                 10.0000元
1201 - 味全公司,股東會確認,1,,104/06/24,"2,367,887,072","-244,137,935","1,963,609,992","1,963,609,992",0,0,0,0,0,0,0,0,0,0,0,無,,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),董監酬勞(元),員工紅利-現金紅利金額(元),員工紅利-股票紅利金額(元),員工紅利-股票紅利股數(股),員工紅利-股票紅利股數佔盈餘轉增資之比例(%),有無全數分派員工股票紅利而股東未配發股票股利之情事,股東會對於員工紅利及董監酬勞之決議情形與原董事會通過擬議內容之差異原因及合理性,普通股每股面額
1201 - 味全公司,董事會通過,1,104/03/27,104/06/24,"2,367,887,072","-244,137,935","1,963,609,992","1,963,609,992",0,0,0,0,0,0,0,0,0,,,無,,新台幣                 10.0000元
1203 - 味王公司,股東會確認,1,,104/06/23,"251,802,743","266,930,725","480,168,643","240,168,643",1,0,"240,000,000",0,0,0,"12,903,226","5,161,290",0,0,0,無,,新台幣                 10.0000元
1203 - 味王公司,董事會通過,1,104/03/30,104/06/23,"251,802,743","266,930,725","480,168,643","240,168,643",1,0,"240,000,000",0,0,0,"12,903,226","5,161,290",0,,,無,,新台幣                 10.0000元
1210 - 大成長城,股東會確認,1,,104/06/09,"341,036,370","1,162,573,043","1,384,476,862","648,082,482",1,0,"736,394,380",0,0,0,"15,000,000","15,000,000",0,0,0,無,,新台幣                 10.0000元
1210 - 大成長城,董事會通過,1,104/03/26,104/06/09,"341,036,370","1,162,573,043","1,384,476,862","648,082,482",1,0,"736,394,380",0,0,0,"15,000,000","15,000,000",0,,,無,,新台幣                 10.0000元
1213 - 大飲,股東會確認,1,,104/05/15,"63,424,573","11,508,240","73,793,245","73,793,245",0,0,0,0,0,0,0,0,0,0,,無,,新台幣                 10.0000元
1213 - 大飲,董事會通過,1,104/03/20,104/05/15,"63,424,573","11,508,240","73,793,245","73,793,245",0,0,0,0,0,0,0,0,0,,,無,,新台幣                 10.0000元
1215 - 卜蜂企業,股東會確認,1,,104/06/17,"308,805,687","782,892,416","1,020,178,365","532,922,005",1,0,"243,628,180",1,0,"24,362,818",0,"7,115,000",0,0,0,無,,新台幣                 10.0000元
