公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1101 - 台泥,股東會確認,1,,106/06/28,"14,222,703,892","6,358,452,420","20,261,931,451","14,908,276,441",1.45,0,"5,353,655,010",0,0,0,新台幣                 10.0000元
1101 - 台泥,董事會通過,1,106/03/27,106/06/28,"14,222,703,892","6,358,452,420","20,261,931,451","14,908,276,441",1.45,0,"5,353,655,010",0,0,0,新台幣                 10.0000元
1102 - 亞泥,股東會確認,1,,106/06/27,"10,908,688,494","3,945,769,516","13,529,992,457","10,504,689,979",0.9,0,"3,025,302,478",0,0,0,新台幣                 10.0000元
1102 - 亞泥,董事會通過,1,106/03/23,106/06/27,"10,908,688,494","3,945,769,516","13,529,992,457","10,504,689,979",0.9,0,"3,025,302,478",0,0,0,新台幣                 10.0000元
1103 - 嘉泥,股東會確認,1,,106/06/19,"2,805,905,894","24,888,438","3,899,733,842","3,744,777,733",0.2,0,"154,956,109",0,0,0,新台幣                 10.0000元
1103 - 嘉泥,董事會通過,1,106/03/29,106/06/19,"2,805,905,894","24,888,438","3,899,733,842","3,822,255,788",0.1,0,"77,478,054",0,0,0,新台幣                 10.0000元
1104 - 環球水泥,股東會確認,1,,106/06/14,"2,800,608,719","1,701,797,747","4,333,195,083","3,381,337,036",1.2,0,"761,486,437",0.3,0,"19,037,161",新台幣                 10.0000元
1104 - 環球水泥,董事會通過,1,106/03/27,106/06/14,"2,800,608,719","1,701,797,747","4,333,195,083","3,381,337,036",1.2,0,"761,486,437",0.3,0,"19,037,161",新台幣                 10.0000元
1108 - 幸福水泥,股東會確認,1,,106/06/07,"235,167,681","315,334,330","516,462,946","273,620,117",0.6,0,"242,842,829",0,0,0,新台幣                 10.0000元
1108 - 幸福水泥,董事會通過,1,106/03/20,106/06/07,"235,167,681","315,334,330","516,462,946","273,620,117",0.6,0,"242,842,829",0,0,0,新台幣                 10.0000元
1109 - 信大水泥,股東會確認,1,,106/06/16,"189,111,659","161,017,469","326,853,427","288,963,358",0.1,0,"37,890,069",0,0,0,新台幣                 10.0000元
1109 - 信大水泥,董事會通過,1,106/03/24,106/06/16,"189,111,659","161,017,469","326,853,427","288,963,358",0.1,0,"37,890,069",0,0,0,新台幣                 10.0000元
1110 - 東泥,股東會確認,1,,106/06/23,"54,467,922","108,418,801","158,791,201","101,591,122",0.1,0,"57,200,079",0,0,0,新台幣                 10.0000元
1110 - 東泥,董事會通過,1,106/03/28,106/06/23,"54,467,922","108,418,801","158,791,201","101,591,122",0.1,0,"57,200,079",0,0,0,新台幣                 10.0000元
1201 - 味全公司,股東會確認,1,,106/06/27,"44,381,078","-776,709,195","-837,452,614","-837,452,614",0,0,0,0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1201 - 味全公司,董事會通過,1,106/03/27,106/06/27,"44,381,078","-776,709,195","-837,452,614","-837,452,614",0,0,0,0,0,0,新台幣                 10.0000元
1203 - 味王公司,股東會確認,1,,106/06/27,"204,874,456","422,963,324","566,362,658","326,362,658",1,0,"240,000,000",0,0,0,新台幣                 10.0000元
1203 - 味王公司,董事會通過,1,106/03/28,106/06/27,"204,874,456","422,963,324","566,362,658","326,362,658",1,0,"240,000,000",0,0,0,新台幣                 10.0000元
1210 - 大成長城,股東會確認,1,,106/06/15,"664,299,718","2,058,379,948","2,512,733,871","1,408,142,301",1.5,0,"1,104,591,570",0,0,0,新台幣                 10.0000元
1210 - 大成長城,董事會通過,1,106/03/24,106/06/15,"664,299,718","2,058,379,948","2,512,733,871","1,408,142,301",1.5,0,"1,104,591,570",0,0,0,新台幣                 10.0000元
1213 - 大飲,股東會確認,1,,106/06/02,"37,177,332","15,165,389","50,922,816","50,922,816",0,0,0,0,0,0,新台幣                 10.0000元
1213 - 大飲,董事會通過,1,106/03/24,106/06/02,"37,177,332","15,165,389","50,922,816","50,922,816",0,0,0,0,0,0,新台幣                 10.0000元
1215 - 卜蜂企業,股東會確認,1,,106/06/15,"597,764,583","1,261,795,478","1,727,619,608","923,646,614",3,0,"803,972,994",0,0,0,新台幣                 10.0000元
