公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1101 - 台泥,股東會確認,1,,105/06/22,"14,474,390,280","5,775,988,590","19,133,297,798","14,222,703,892",1.33,0,"4,910,593,906",0,0,0,新台幣                 10.0000元
1101 - 台泥,董事會通過,1,105/03/30,105/06/22,"14,474,390,280","5,775,988,590","19,133,297,798","14,222,703,892",1.33,0,"4,910,593,906",0,0,0,新台幣                 10.0000元
1102 - 亞泥,股東會確認,1,,105/06/21,"11,773,918,737","4,860,240,513","14,606,280,412","10,908,688,494",1.1,0,"3,697,591,918",0,0,0,新台幣                 10.0000元
1102 - 亞泥,董事會通過,1,105/03/25,105/06/21,"11,773,918,737","4,860,240,513","14,606,280,412","10,908,688,494",1.1,0,"3,697,591,918",0,0,0,新台幣                 10.0000元
1103 - 嘉泥,股東會確認,1,,105/06/27,"3,779,645,300","221,517,960","2,883,383,948","2,805,905,894",0.1,0,"77,478,054",0,0,0,新台幣                 10.0000元
1103 - 嘉泥,董事會通過,1,105/05/13,105/06/27,"3,779,645,300","221,517,960","2,883,383,948","2,883,383,948",0,0,0,0,0,0,新台幣                 10.0000元
1104 - 環球水泥,股東會確認,1,,105/06/22,"2,242,287,759","1,392,730,924","3,491,726,769","2,800,608,719",1,0,"628,289,140",0.1,0,"6,282,891",新台幣                 10.0000元
1104 - 環球水泥,董事會通過,1,105/03/29,105/06/22,"2,242,287,759","1,392,730,924","3,491,726,769","2,800,608,719",1,0,"628,289,140",0.1,0,"6,282,891",新台幣                 10.0000元
1108 - 幸福水泥,股東會確認,1,,105/06/15,"164,252,261","470,161,293","579,195,023","235,167,681",0.85,0,"344,027,342",0,0,0,新台幣                 10.0000元
1108 - 幸福水泥,董事會通過,1,105/03/28,105/06/15,"164,252,261","470,161,293","579,195,023","235,167,681",0.85,0,"344,027,342",0,0,0,新台幣                 10.0000元
1109 - 信大水泥,股東會確認,1,,105/06/22,"261,329,585","17,976,981","264,891,796","189,111,659",0.2,0,"75,780,137",0,0,0,新台幣                 10.0000元
1109 - 信大水泥,董事會通過,1,105/03/31,105/06/22,"261,329,585","17,976,981","264,891,796","189,111,659",0.2,0,"75,780,137",0,0,0,新台幣                 10.0000元
1110 - 東泥,股東會確認,1,,105/06/17,"39,496,610","143,993,805","168,868,081","54,467,922",0.2,0,"114,400,159",0,0,0,新台幣                 10.0000元
1110 - 東泥,董事會通過,1,105/03/28,105/06/17,"39,496,610","143,993,805","168,868,081","54,467,922",0.2,0,"114,400,159",0,0,0,新台幣                 10.0000元
1201 - 味全公司,股東會確認,1,,105/06/28,"1,963,609,992","-1,913,683,738","44,381,078","44,381,078",0,0,0,0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1201 - 味全公司,董事會通過,1,105/03/29,105/06/28,"1,963,609,992","-1,913,683,738","44,381,078","44,381,078",0,0,0,0,0,0,新台幣                 10.0000元
1203 - 味王公司,股東會確認,1,,105/06/28,"240,168,643","266,645,539","444,874,456","204,874,456",1,0,"240,000,000",0,0,0,新台幣                 10.0000元
1203 - 味王公司,董事會通過,1,105/03/30,105/06/28,"240,168,643","266,645,539","444,874,456","204,874,456",1,0,"240,000,000",0,0,0,新台幣                 10.0000元
1210 - 大成長城,股東會確認,1,,105/06/24,"648,082,482","591,380,015","1,179,775,783","664,299,718",0.7,0,"515,476,066",0,0,0,新台幣                 10.0000元
1210 - 大成長城,董事會通過,1,105/04/29,105/06/24,"648,082,482","591,380,015","1,179,775,783","664,299,718",0.7,0,"515,476,066",0,0,0,新台幣                 10.0000元
1213 - 大飲,股東會確認,1,,105/05/26,"73,793,245","16,510,369","88,652,442","37,177,332",0,0,0,1,0,"5,147,511",新台幣                 10.0000元
